,budget,genres,keywords,original_language,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,tagline,title,vote_count,Profit
427,80000000,Comedy,sun glasses   interpol   undercover cop   hangover   duringcreditsstinger,en,"The Hangover crew heads to Thailand for Stu's wedding. After the disaster of a bachelor party in Las Vegas last year, Stu is playing it safe with a mellow pre-wedding brunch. However, nothing goes as planned and Bangkok is the perfect setting for another adventure with the rowdy group.",58.040149,Legendary Pictures   Living Films   Green Hat Films   Warner Bros,US  United States of America,2011-05-25,254455986,102.0,The Wolfpack Is Back,The Hangover Part II,3739,174455986
428,80000000,Action   Fantasy,holay   corruption   double life   dc comics   crime fighter   hallucination   christmas tree   gotham city   vigilante   superhero   violence   dark hero   fictional city   super villain   super powers   deformed   bird cage   evil circus   christmas holay,en,"Having defeated the Joker, Batman now faces the Penguin - a warped and deformed individual who is intent on being accepted into Gotham society. Crooked businessman Max Schreck is coerced into helping him become Mayor of Gotham and they both attempt to expose Batman in a different light. Selina Kyle, Max's secretary, is thrown from the top of a building and is transformed into Catwoman - a mysterious figure who has the same personality disorder as Batman. Batman must attempt to clear his name, all the time deciding just what must be done with the Catwoman.",59.113174,PolyGram Filmed Entertainment   Warner Bros,GB  United Kingdom  US  United States of America,1992-06-19,280000000,126.0,"The Bat, the Cat, the Penguin.",Batman Returns,1673,200000000
429,80000000,Comedy   Animation   Family,squirrel   eating and drinking   vororte   garden   grizzly bear   entrapment   suburbian yll   garbage   forest   turtle   hing in a garbage container   skunk   racoon   animal,en,"A scheming raccoon fools a mismatched family of forest creatures into helping him repay a debt of food, by invading the new suburban sprawl that popped up while they were hibernating – and learns a lesson about family himself.",36.32705,Pacific Data Images PDI   DreamWorks Animation,US  United States of America,2006-04-22,343397247,83.0,Taking back the neighborhood... One snack at a time.,Over the Hedge,1074,263397247
430,80000000,Animation   Family,sister sister relationship   extraterrestrial technology   hawaii   adoption   mutation   alien life form   alien phenomenons   animation   dog   dead parents,en,"A lonely Hawaiian girl named Lilo is being raised by her older sister, Nani, after their parents die -- under the watch of social worker Cobra Bubbles. When Lilo adopts a funny-looking dog and names him ""Stitch,"" she doesn't realize her new best friend is a wacky alien created by mad scientist Dr. Jumba.",55.659988,Walt Disney Pictures   Walt Disney Feature Animation,US  United States of America,2002-06-21,145771527,85.0,He's coming to our galaxy.,Lilo & Stitch,1314,65771527
431,85000000,Comedy   Family   Fantasy,hero   barn   sper   pig   egg   friendship   spring   uncle   friends   rescue   survival   talking animal   grass   family   desk   raincoat   talking pig,en,"Wilbur the pig is scared of the end of the season, because he knows that come that time, he will end up on the dinner table. He hatches a plan with Charlotte, a spider that lives in his pen, to ensure that this will never happen.",14.132583,Paramount Pictures   Kerner Entertainment Company,DE  Germany  US  United States of America,2006-12-15,144000000,97.0,"Something unexpected, unbelievable, unforgettable.",Charlotte's Web,288,59000000
432,75000000,Action   Drama   Romance,usa present   nasa   metereologist   space mission   comet   natural disaster   tsunami   astronomer   astronaut   woman director   disaster movie,en,"A seven-mile-wide space rock is hurtling toward Earth, threatening to obliterate the planet. Now, it's up to the president of the United States to save the world. He appoints a tough-as-nails veteran astronaut to lead a joint American-Russian crew into space to destroy the comet before impact. Meanwhile, an enterprising reporter uses her smarts to uncover the scoop of the century.",34.070054,Paramount Pictures   DreamWorks SKG   Zanuck Brown Productions   Manhattan Project,US  United States of America,1998-05-08,140464664,120.0,Heaven and Earth are about to collide.,Deep Impact,855,65464664
433,84000000,Action   Comedy   Crime   Thriller,paris   london england   cia   russia   mi   hired killer   exploding airplane,en,Retired C.I.A. agent Frank Moses reunites his unlikely team of elite operatives for a global quest to track down a missing portable nuclear device.,44.34333,DC Comics   Di Bonaventura Pictures   Summit Entertainment   DC Entertainment,CA  Canada  FR  France  US  United States of America,2013-07-18,0,116.0,The best never rest.,RED 2,1526,-84000000
434,82000000,Comedy   Drama,prison   american football   prisoner   blackmail   supervisor   sport,en,"Pro quarter-back, Paul Crewe and former college champion and coach, Nate Scarboro are doing time in the same prison. Asked to put together a team of inmates to take on the guards, Crewe enlists the help of Scarboro to coach the inmates to victory in a football game 'fixed' to turn out quite another way.",26.065735,Paramount Pictures   Columbia Pictures Corporation   MTV Films   Happy Madison Productions   Callahan Filmworks,US  United States of America,2005-05-19,190320568,113.0,"If you can't get out, get even.",The Longest Yard,785,108320568
435,75000000,Comedy   Fantasy   Family   Music   Animation,sequel   chipmunk   cruise ship   overboard,en,"Playing around while aboard a cruise ship, the Chipmunks and Chipettes accidentally go overboard and end up marooned in a tropical paradise. They discover their new turf is not as deserted as it seems.",23.473004,Fox Pictures,US  United States of America,2011-12-14,342695435,87.0,This holiday it's gonna get squeaky.,Alvin and the Chipmunks: Chipwrecked,484,267695435
436,80000000,Comedy,,en,"The all-star comedy cast from Grown Ups returns (with some exciting new additions) for more summertime laughs. Lenny (Adam Sandler) has relocated his family back to the small town where he and his friends grew up. This time around, the grown ups are the ones learning lessons from their kids on a day notoriously full of surprises: the last day of school.",45.589568,Columbia Pictures   Happy Madison Productions   Sony Pictures Entertainment SPE,US  United States of America,2013-07-11,246984278,100.0,Just because they're a little older doesn't mean they've grown up.,Grown Ups 2,1155,166984278
437,80000000,Action   Comedy   Thriller,dancing   spy   terrorist   traitor   airplane   violin   based on tv series   legs,en,"When the identities of secret agents from Control are compromised, the Chief promotes hapless but eager analyst Maxwell Smart and teams him with stylish, capable Agent 99, the only spy whose cover remains intact. Can they work together to thwart the evil plans of KAOS and its crafty operative?",23.496054,Village Roadshow Pictures   Atlas Entertainment   Mosaic Media Group   Mad Chance   Warner Bros   WV Films IV   Mel s Cite du Cinema   Callahan Filmworks,CA  Canada  RU  Russia  US  United States of America,2008-06-19,230685453,110.0,Saving The World...And Loving It!,Get Smart,1051,150685453
438,80000000,Drama   Comedy   Romance,age difference   ladykiller   woman director,en,"Harry Sanborn is an aged music industry exec with a fondness for younger women like Marin, his latest trophy girlfriend. Things get a little awkward when Harry suffers a heart attack at the home of Marin's mother, Erica. Left in the care of Erica and his doctor, a love triangle starts to take shape.",16.939441,Columbia Pictures Corporation   Waverly Films   Warner Bros,US  United States of America,2003-12-12,266728738,128.0,Schmucks are people too.,Something's Gotta Give,410,186728738
439,80000000,Drama   Thriller   Mystery,based on novel   island   hurricane   investigation   psychiatric hospital   u s marshal   conspiracy theory   s,en,"World War II soldier-turned-U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane, but his efforts are compromised by his troubling visions and also by a mysterious doctor.",81.914696,Paramount Pictures   Appian Way   Phoenix Pictures   Sikelia Productions,US  United States of America,2010-02-18,294804195,138.0,Someone is missing.,Shutter Island,6336,214804195
440,80000000,Comedy   Romance   Drama,holay   romantic comedy   dysfunctional family   christmas,en,"Brad and Kate have made something of an art form out of avoiding their families during the holidays, but this year their foolproof plan is about go bust -- big time. Stuck at the city airport after all departing flights are canceled, the couple is embarrassed to see their ruse exposed to the world by an overzealous television reporter. Now, Brad and Kate are left with precious little choice other than to swallow their pride and suffer the rounds.",19.500893,New Line Cinema   Spyglass Entertainment   Type A Films   Ott Medien   Wild West Picture Show Productions,US  United States of America,2008-11-26,163733697,88.0,"His father, her mother, his mother and her father all in one day.",Four Christmases,331,83733697
441,75000000,Animation   Comedy   Family   Science Fiction,inventor   business man   robot   dishonesty,en,"Rodney Copperbottom is a young robot inventor who dreams of making the world a better place, until the evil Ratchet takes over Big Weld Industries. Now, Rodney's dreams – and those of his friends – are in danger of becoming obsolete.",29.558157,Blue Sky Studios   Twentieth Century Fox Animation,US  United States of America,2005-03-10,260696994,91.0,You can shine no matter what you're made of.,Robots,1333,185696994
442,80000000,Action   Crime   Science Fiction   Thriller,undercover   mexican standoff   biological weapon   face transplant   rage and hate   fistfight   hostility   revenge   deception   tragedy   shootout   hospital   boat chase   los angeles   explosion   extreme violence   fbi agent   prison escape   criminal gang   flashback   golden gun   arch villain   bullet ballet,en,"An antiterrorism agent goes under the knife to acquire the likeness of a terrorist and gather details about a bombing plot. When the terrorist escapes custody, he undergoes surgery to look like the agent so he can get close to the agent's family.",46.075037,Paramount Pictures   Permut Presentations   WCG Entertainment Productions   Douglas Reuther Productions   Touchstone Pictures   Krane Entertainment,US  United States of America,1997-06-27,245676146,138.0,"In order to catch him, he must become him.",Face/Off,1583,165676146
443,80000000,Fantasy   Comedy   Family   Romance,wishes come true   escapade   disorder   imaginary   miraculous event   imaginary kingdom   life turned upse down   nothing goes right,en,Skeeter Bronson is a down-on-his-luck guy who's always telling bedtime stories to his niece and nephew. But his life is turned upside down when the fantastical stories he makes up for entertainment inexplicably turn into reality. Can a bewildered Skeeter manage his own unruly fantasies now that the outrageous characters and situations from his mind have morphed into actual people and events?,23.531721,Walt Disney Pictures   Happy Madison Productions   Gunn Films,US  United States of America,2008-12-24,212874442,99.0,Whatever they dream up... he has to survive.,Bedtime Stories,901,132874442
444,80000000,Thriller   Crime   Drama,based on graphic novel   homework   shot in the chin   soft boiled egg   learning to drive   spoiled son   scarred face   thompson sub machine gun   frost on a window   cauterizing a wound   liberty half dollar,en,"Mike Sullivan works as a hit man for crime boss John Rooney. Sullivan views Rooney as a father figure, however after his son is witness to a killing, Mike Sullivan finds himself on the run in attempt to save the life of his son and at the same time looking for revenge on those who wronged him.",49.078546,DreamWorks SKG   The Zanuck Company   Twentieth Century Fox Film Corporation,US  United States of America,2002-07-12,181001478,117.0,Pray for Michael Sullivan.,Road to Perdition,1077,101001478
445,80000000,Romance   Comedy,beach   fictitious marriage   blackmail   plastic surgery   marriage   love   beautiful woman   ks and family,en,"A plastic surgeon, romancing a much younger schoolteacher, enlists his loyal assistant to pretend to be his soon to be ex-wife, in order to cover up a careless lie. When more lies backfire, the assistant's kids become involved, and everyone heads off for a weekend in Hawaii that will change all their lives.",37.02665,Columbia Pictures   Happy Madison Productions,US  United States of America,2011-02-10,214918407,117.0,Sometimes a guy's best wingman... is a wingwoman,Just Go with It,1543,134918407
446,75000000,Action   Thriller   Crime,prison   ambush   helicopter   airport   gas station   undercover   mexican standoff   bravery   hijacking   escape   shootout   u s marshal   las vegas   explosion   brutality   violence   convict   desert   war hero   dea agent   motorcycle chase,en,"When the government puts all its rotten criminal eggs in one airborne basket, it's asking for trouble. Before you can say, ""Pass the barf bag,"" the crooks control the plane, led by creepy Cyrus ""The Virus"" Grissom. Watching his every move is the just-released Cameron Poe, who'd rather reunite with his family.",45.154631,Jerry Bruckheimer Films   Kouf Bigelow Productions   Touchstone Pictures   Hiett Designs of Las Vegas   Runway Pictures Inc,US  United States of America,1997-06-01,224012234,115.0,They were deadly on the ground; Now they have wings,Con Air,1270,149012234
447,80000000,Mystery   Thriller   Action,artificial intelligence   washington d c   secret entity   hostage   technology   fbi   pentagon   twin brother   fbi agent,en,"Jerry Shaw and Rachel Holloman are two strangers whose lives are suddenly thrown into turmoil by a mysterious woman they have never met. Threatening their lives and family, the unseen caller uses everyday technology to control their actions and push them into increasing danger. As events escalate, Jerry and Rachel become the country's most-wanted fugitives and must figure out what is happening to them.",46.887983,DreamWorks SKG   K O Paper Products   Goldcrest Pictures   KMP Film Invest,US  United States of America  DE  Germany,2008-09-25,178066569,118.0,Don't walk. Run.,Eagle Eye,1018,98066569
448,79000000,Drama,loss of lover   loss of family   deserter   loss of father   love of one s life,en,"In this classic story of love and devotion set against the backdrop of the American Civil War, a wounded Confederate soldier named W.P. Inman deserts his unit and travels across the South, aiming to return to his young wife, Ada, who he left behind to tend their farm. As Inman makes his perilous journey home, Ada struggles to keep their home intact with the assistance of Ruby, a mysterious drifter sent to help her by a kindly neighbor.",24.598479,Miramax Films   Mirage Enterprises   Castel Film Romania   Bona Fe Productions   Cattleya,US  United States of America  GB  United Kingdom  RO  Romania  IT  Italy,2003-12-24,173013509,154.0,Find the strength. Find the courage. No matter what it takes... find the way home.,Cold Mountain,533,94013509
449,80000000,Action   Thriller   Science Fiction,book   post apocalyptic   dystopia   faith   blind,en,"A post-apocalyptic tale, in which a lone man fights his way across America in order to protect a sacred book that holds the secrets to saving humankind.",32.363538,Alcon Entertainment   Silver Pictures,US  United States of America,2010-01-14,157107755,118.0,Some will kill to have it. He will kill to protect it.,The Book of Eli,2164,77107755
450,80000000,Comedy   Family   Science Fiction,wedding vows   inventor   slime   green   flight   mad scientist   wedding,en,"Professor Phillip Brainard, an absent minded professor, works with his assistant Weebo, trying to create a substance that's a new source of energy and that will save Medfield College where his sweetheart Sara is the president. He has missed his wedding twice, and on the afternoon of his third wedding, Professor Brainard creates flubber, which allows objects to fly through the air.",11.50396,Walt Disney Pictures   Great Oaks Entertainment,US  United States of America,1997-11-26,177977226,93.0,Catch it if you can!,Flubber,695,97977226
451,80000000,Horror   Thriller   Fantasy   Mystery,based on novel   trauma   castle   haunted house   insomnia   bone   poster   painting   remake   haunting   child labor   audio recording   spiral staircase   evil   loner   researcher   insomniac   paranormal activity   logbook   u a strange noise   spook   cherub,en,"Dr. David Marrow invites Nell Vance, and Theo and Luke Sanderson to the eerie and isolated Hill House to be subjects for a sleep disorder study. The unfortunate guests discover that Marrow is far more interested in the sinister mansion itself – and they soon see the true nature of its horror.",19.375768,DreamWorks   Roth Arnold Productions,US  United States of America,1999-07-23,91188905,113.0,Some houses are born bad.,The Haunting,369,11188905
452,80000000,Animation   Comedy   Drama   Family   Fantasy,sport   basketball   doctor   basketball team   basketball game   referee   basketball court   tweety bird   speedy gonzales   cartoon chicken   sylvester the cat   cartoon reality crossover   basketball hoop   cartoon skunk,en,"In a desperate attempt to win a basketball match and earn their freedom, the Looney Tunes seek the aid of retired basketball champion, Michael Jordan.",36.125715,Warner Bros Family Entertainment   Northern Lights Entertainment   Courtse Seats Productions,US  United States of America,1996-11-15,250200000,88.0,Get ready to jam.,Space Jam,1288,170200000
453,0,Action   Comedy   Crime   Mystery   Family,robbery   investigation   inspector   killer   clouseau   pink panther   murder hunt,en,"When the coach of the France soccer team is killed by a poisoned dart in the stadium in the end of a game, and his expensive and huge ring with the diamond Pink Panther disappears, the ambitious Chief Inspector Dreyfus assigns the worst police inspector Jacques Clouseau to the case.",25.450534,Columbia Pictures   International Production Company   The Montecito Picture Company   Robert Simonds Productions   Metro Goldwyn Mayer MGM,US  United States of America,2006-01-18,0,93.0,Pardon His French.,The Pink Panther,550,0
454,80000000,Drama   Science Fiction   Thriller,extraterrestrial technology   spacecraft   ultimatum   evacuation   panic   government   remake   ufo   alien   end of the world   giant robot   tank   social commentary   power outage   interrogation   environmentalism   threat   alien contact   central park   messenger   nanobots   disintegration,en,"A representative of an alien race that went through drastic evolution to survive its own climate change, Klaatu comes to Earth to assess whether humanity can prevent the environmental damage they have inflicted on their own planet. When barred from speaking to the United Nations, he decides humankind shall be exterminated so the planet can survive.",41.890722,Twentieth Century Fox Film Corporation   Dune Entertainment III   Earth Canada Productions   Hammerhead Productions   Arts Entertainment,CA  Canada  US  United States of America,2008-12-10,233093859,104.0,12.12.08 is the Day the Earth Stood Still,The Day the Earth Stood Still,1043,153093859
455,75000000,Action   Drama   Mystery   Thriller,new york   cia   helicopter   assassin   secret   obsession   taxi driver   fbi   paranoia   wheelchair   chase   theory   politics   government   control   cover up   murder   suspense   conspiracy   torture   flashback   target   geronimo   newsletter,en,"A man obsessed with conspiracy theories becomes a target after one of his theories turns out to be true. Unfortunately, in order to save himself, he has to figure out which theory it is.",22.179658,Silver Pictures   Warner Bros   Donner Shuler Donner Productions,US  United States of America,1997-08-07,136982834,135.0,What if your most paranoid nightmares had just come true?,Conspiracy Theory,431,61982834
456,68000000,War   Drama   Action,world war ii   nazis   war   nazi germany   panzer   tank,en,"Last months of World War II in April 1945. As the Allies make their final push in the European Theater, a battle-hardened U.S. Army sergeant in the 2nd Armored Division named Wardaddy commands a Sherman tank called ""Fury"" and its five-man crew on a deadly mission behind enemy lines. Outnumbered and outgunned, Wardaddy and his men face overwhelming odds in their heroic attempts to strike at the heart of Nazi Germany.",139.575085,Columbia Pictures   QED International   Crave Films   LStar Capital   Huayi Brothers Media   Le Grisbi Productions,GB  United Kingdom  US  United States of America  CN  China,2014-10-15,211817906,135.0,War never ends quietly.,Fury,3946,143817906
457,70000000,Action   Adventure   Comedy   Romance,overleven   family guy,en,"When Quinn, a grouchy pilot living the good life in the South Pacific, agrees to transfer a savvy fashion editor, Robin, to Tahiti, he ends up stranded on a deserted island with her after their plane crashes. The pair avoid each other at first, until they're forced to team up to escape from the island -- and some pirates who want their heads.",18.264635,Caravan Pictures   Roger Birnbaum Productions   Northern Lights Entertainment   Touchstone Pictures,US  United States of America,1998-06-12,164000000,98.0,"After this week in paradise, they’re going to need a vacation.",Six Days Seven Nights,332,94000000
458,80000000,Comedy   Family   Animation   Adventure,picnic   sandwich   bear   d   yogi,en,"Jellystone Park has been losing business, so greedy Mayor Brown decides to shut it down and sell the land. That means families will no longer be able to experience the natural beauty of the outdoors -- and, even worse, Yogi and Boo Boo will be tossed out of the only home they've ever known. Faced with his biggest challenge ever, Yogi must prove that he really is ""smarter than the average bear"" as he and Boo Boo join forces with their old nemesis Ranger Smith to find a way to save Jellystone Park from closing forever.",11.187696,De Line Pictures   Warner Bros Animation   Sunswept Entertainment   Rhythm and Hues   Picnic Basket,US  United States of America  NZ  New Zealand,2010-12-11,201584141,80.0,Life's a Pic-A-Nic,Yogi Bear,220,121584141
459,80000000,Western   Animation   Adventure   Comedy   Family,human being   freedom   mustang   rivalry   wildlife   animation   cavalry   indian war   eyebrow   wild horse,en,"As a wild stallion travels across the frontiers of the Old West, he befriends a young human and finds true love with a mare.",41.670544,DreamWorks SKG   DreamWorks Animation,US  United States of America,2002-05-24,122563539,83.0,Leader. Hero. Legend.,Spirit: Stallion of the Cimarron,831,42563539
460,80000000,Comedy   Romance   Family,talking animal   scientist   german accent   ostrich   monkey   bullfrog   car dealership   duringcreditsstinger,en,"A comedy about a zookeeper who might be great with animals, but he doesn't know anything about the birds and the bees. The man can't find love, so he decides to quit his job at the zoo, but his animal friends try to stop him and teach him that Mother Nature knows best when it comes to love.",27.46264,Columbia Pictures   Happy Madison Productions   Sony Pictures Releasing   Broken Road Productions   Metro Goldwyn Mayer MGM   Zookeeper Productions   Hey Eddie,US  United States of America,2011-07-06,169852759,102.0,Welcome to his jungle.,Zookeeper,498,89852759
461,80000000,Adventure   Family   Science Fiction,time travel   sabotage   deep space explorer,en,"The prospects for continuing life on Earth in the year 2058 are grim. So the Robinsons are launched into space to colonize Alpha Prime, the only other inhabitable planet in the galaxy. But when a stowaway sabotages the mission, the Robinsons find themselves hurtling through uncharted space.",17.455024,New Line Cinema   Irwin Allen Productions   Prelude Pictures   Saltire Entertainment,US  United States of America,1998-04-03,136159423,130.0,"Danger, Will Robinson!",Lost in Space,388,56159423
462,80000000,Drama   Thriller   Mystery,senator   gulf war   canoe   kuwait   conspiracy   war hero   u s congress   implant,en,"When his army unit was ambushed during the first Gulf War, Sergeant Raymond Shaw saved his fellow soldiers just as his commanding officer, then-Captain Ben Marco, was knocked unconscious. Brokering the incident for political capital, Shaw eventually becomes a vice-presidential nominee, while Marco is haunted by dreams of what happened -- or didn't happen -- in Kuwait. As Marco (now a Major) investigates, the story begins to unravel, to the point where he questions if it happened at all. Is it possible the entire unit was kidnapped and brainwashed to believe Shaw is a war hero as part of a plot to seize the White House? Some very powerful people at Manchurian Global corporation appear desperate to stop him from finding out.",21.394281,Paramount Pictures   Scott Rudin Productions   Clinica Estetico,US  United States of America,2004-07-30,96105964,129.0,This summer everything is under control.,The Manchurian Candidate,393,16105964
463,0,Romance   Drama,love   american   pin   stranger   ruby,en,"L.A. shop owner Dana and Englishman Sean meet and fall in love at first sight, but Sean is married and Dana is to marry her business partner Alex.",0.605645,Rainbow Film Company The   Revere Entertainment   Jagtoria Films,US  United States of America,1998-04-22,0,117.0,Your future is set...,Déjà Vu,1,0
464,80000000,Animation   Comedy   Family,transylvania   hotel   witch   technology   magic   mummy   dracula   skeleton   only child   backpacker   marriage   frankenstein   wolfman   zombie   moving out   invisible man   new life,en,"When the old-old-old-fashioned vampire Vlad arrives at the hotel for an impromptu family get-together, Hotel Transylvania is in for a collision of supernatural old-school and modern day cool.",61.692197,Columbia Pictures   Sony Pictures Animation,US  United States of America,2015-09-21,473226958,89.0,They're back to raise a little terror,Hotel Transylvania 2,1497,393226958
465,80000000,Animation   Family   Music,orchestra   musical segments,en,"Blending lively music and brilliant animation, this sequel to the original 'Fantasia' restores 'The Sorcerer's Apprentice' and adds seven new shorts.",14.530946,Walt Disney Pictures,US  United States of America,1999-12-17,90874570,74.0,No Tagline,Fantasia 2000,292,10874570
466,80000000,Science Fiction   Adventure   Action,future   time machine,en,"Hoping to alter the events of the past, a 19th century inventor instead travels 800,000 years into the future, where he finds humankind divided into two warring races.",25.978555,DreamWorks SKG   Warner Bros,US  United States of America,2002-03-04,123729176,96.0,The greatest adventure THROUGH all time!,The Time Machine,631,43729176
467,90000000,Action   Adventure   Family   Fantasy,gorilla   dying and death,en,"As a child living in Africa, Jill Young saw her mother killed while protecting wild gorillas from poachers led by Andrei Strasser. Now an adult, Jill cares for an orphaned gorilla named Joe -- who, due to a genetic anomaly, is 15 feet tall. When Gregg O'Hara arrives from California and sees the animal, he convinces Jill that Joe would be safest at his wildlife refuge. But Strasser follows them to the U.S., intent on capturing Joe for himself.",6.643778,Walt Disney Pictures   RKO Pictures,US  United States of America,1998-12-25,0,114.0,Survival is an instinct.,Mighty Joe Young,208,-90000000
468,102000000,Action   Crime   Thriller,female nudity   hacker   terrorism   violence   ex con   wire   los angeles international airport lax   misdirection   aftercreditsstinger,en,"Rogue agent Gabriel Shear is determined to get his mitts on $9 billion stashed in a secret Drug Enforcement Administration account. He wants the cash to fight terrorism, but lacks the computer skills necessary to hack into the government mainframe. Enter Stanley Jobson, a n'er-do-well encryption expert who can log into anything.",36.788745,Village Roadshow Pictures   NPV Entertainment   Silver Pictures   Warner Bros   Jonathan Krane Group,AU  Australia  US  United States of America,2001-06-07,147080413,99.0,Log On. Hack In. Go Anywhere. Get Everything.,Swordfish,932,45080413
469,75000000,Action   Adventure,california   spy   father son relationship   mexico   hero   marriage crisis   sword fight   divorce   american civil war,en,"Having spent the last 10 years fighting injustice and cruelty, Alejandro de la Vega is now facing his greatest challenge: his loving wife Elena has thrown him out of the house!  Elena has filed for divorce and found comfort in the arms of Count Armand, a dashing French aristocrat.  But Alejandro knows something she doesn't: Armand is the evil mastermind behind a terrorist plot to destroy the United States.  And so, with his marriage and the county's future at stake, it's up to Zorro to save two unions before it's too late.",31.054334,Amblin Entertainment   Columbia Pictures Corporation,MX  Mexico  US  United States of America,2005-10-24,142400065,129.0,The original caped crusader is back!,The Legend of Zorro,893,67400065
470,85000000,Drama   Fantasy   Romance,paradise   soul   underworld   heaven   painting   hell   afterlife   spiritism,en,"Chris Neilson dies to find himself in a heaven more amazing than he could have ever dreamed of. There is one thing missing: his wife. After he dies, his wife, Annie killed herself and went to hell. Chris decides to risk eternity in hades for the small chance that he will be able to bring her back to heaven.",21.891078,PolyGram Filmed Entertainment,NZ  New Zealand  US  United States of America,1998-10-02,71485043,113.0,After life there is more. The end is just the beginning.,What Dreams May Come,577,-13514957
471,85000000,Comedy   Fantasy   Romance,father son relationship   brother sister relationship   mephisto   bulldogg,en,"After the lord of darkness decides he will not cede his thrown to any of his three sons, the two most powerful of them escape to Earth to create a kingdom for themselves. This action closes the portal filtering sinful souls to Hell and causes Satan to wither away. He must send his most weak but beloved son, Little Nicky, to Earth to return his brothers to Hell.",18.335992,New Line Cinema   Avery Pix   Happy Madison Productions,US  United States of America,2000-11-10,0,90.0,He's Never Been To Earth. He's Never Even Slept Over Some Other Dude's House.,Little Nicky,438,-85000000
472,88000000,Adventure   Fantasy   Action   Comedy   Thriller,brother brother relationship   literature   aftercreditsstinger,en,"Folklore collectors and con artists, Jake and Will Grimm, travel from village to village pretending to protect townsfolk from enchanted creatures and performing exorcisms. However, they are put to the test  when they encounter a real magical curse in a haunted forest with real magical beings, requiring genuine courage.",40.138009,The Weinstein Company   Summit Entertainment   Atlas Entertainment   Mosaic Media Group   Reforma Films   Dimension Films   Metro Goldwyn Mayer MGM   Revolution Sun Studios,CZ  Czech Republic  GB  United Kingdom  US  United States of America,2005-08-26,105316267,118.0,Eliminating Evil Since 1812.,The Brothers Grimm,818,17316267
473,70000000,Comedy   Fantasy   Science Fiction,saving the world   total destruction   white house   mars   usa present   cataclysm   lasergun   ambassador   congress   pest   flying saucer,en,"'We come in peace' is not what those green men from Mars mean when they invade our planet, armed with irresistible weapons and a cruel sense of humor.  This star studded cast must play victim to the alien’s fun and games in this comedy homage to science fiction films of the '50s and '60s.",44.090535,Tim Burton Productions,US  United States of America,1996-12-12,101371017,106.0,Nice planet. We'll take it!,Mars Attacks!,1509,31371017
474,0,Mystery   Drama   Horror,nurse   sea   beach   boy   pregnant   blood   woman director,fr,11-year-old Nicolas lives with his mother in a seaside housing estate. The only place that ever sees any activity is the hospital. It is there that all the boys from the village are forced to undergo strange medical trials that attempt to disrupt the phases of evolution.,3.300061,Ex Nihilo   Canal   Les films du Worso   Noodles Production   Cin u e   Scope Pictures   Le Tax Shelter du Gouvernement F u e d u e ral de Belgique   Centre National de la Cin u e matographie CNC   Minist u e re de la Culture et de la Communication   Volcano Films   Left Field Ventures   Evo Films A I E   Ind u e films   Palatine u c toile   Cin u e feel Prod,BE  Belgium  FR  France  ES  Spain,2015-09-14,0,81.0,No Tagline,Evolution,47,0
475,0,Action   Adventure   Drama,photographer   grizzly bear   wilderness   airplane   supermodel   emergency landing   suspense   survival   bear   animal horror,en,"The plane carrying wealthy Charles Morse crashes down in the Alaskan wilderness. Together with the two other passengers, photographer Robert and assistant Stephen, Charles devises a plan to help them reach civilization. However, his biggest obstacle might not be the elements, or even the Kodiak bear stalking them -- it could be Robert, whom Charles suspects is having an affair with his wife and would not mind seeing him dead.",20.632673,Art Linson Productions,US  United States of America,1997-09-06,43312294,117.0,"They were fighting over a woman when the plane went down. Now, their only chance for survival is each other.",The Edge,349,43312294
476,80000000,Action   Science Fiction   Thriller,clone   dystopia,en,"Set in a futuristic world where humans live in isolation and interact through surrogate robots, a cop is forced to leave his home for the first time in years in order to investigate the murders of others' surrogates.",36.664991,Touchstone Pictures   Mandeville Films   Wintergreen Productions   Top Shelf Productions,US  United States of America,2009-09-24,122444772,89.0,How do you save humanity when the only thing that's real is you?,Surrogates,1195,42444772
477,80000000,Drama   Thriller,usa present   atomic bomb   john f kennedy   kubakrise   threat,en,"Dramatisation of the Cuban Missile Crisis, the nuclear standoff with the USSR sparked by the discovery by the Americans of missle bases established on the Soviet allied island of Cuba. Shown from the perspective of the US President, John F Kennedy, his staff and advisors.",18.26121,New Line Cinema   Tig Productions,US  United States of America,2000-12-24,34566746,145.0,You'll never believe how close we came,Thirteen Days,189,-45433254
478,80000000,Action   Adventure   Thriller,taxi   new jersey   helicopter   river   hero   taxi driver   race against time   guard   survival   disaster   new york city   explosion   power outage   dog   trapped   flood   tunnel   christmas   trapped underground   action hero,en,A group of armed robbers fleeing the police head for the New Jersey Tunnel and run right into trucks transporting toxic waste. The spectacular explosion that follows results in both ends of the tunnel collapsing and the handful of people who survived the explosion are now in peril. Kit Latura is the only man with the skill and knowledge to lead the band of survivors out of the tunnel before the structure collapses.,16.681269,Universal Pictures   Davis Entertainment,US  United States of America,1996-12-06,159212469,115.0,No air. No escape. No time.,Daylight,378,79212469
